"","SAI","Policy_num","Prime","Competitor","Program","mstr_agt_cd","pri_agt_cd","sub_agt_cd","insured_zip_cd"
"17178","8579v1211","6J033585","WILLIAMS TURNER & MATHIS","Liberty","RESTAURANT PIZZA-FAST FOOD","CBY15","XL793","XL793","30324"
"17179","8648V8211","6J034871","AGENTS UNITED","Hartford","OFC PAC DENTISTS","WY380","WY380","WY380","90048"
"17180","8687VA211","6J035044","PAYNEWEST INS-KALISPELL","Cincinnati","CONDO PAC BLDG 1-4 UNITS","WA265","XV582","XV582","59911"
"17181","8708VA211","6J035265","ARONOV INSURANCE INC","Liberty","BUS PAC NAIL SALONS","TH137","HE420","HE420","36109"
"17182","8699V8211","6J035370","SIMPSON & MCCRADY LLC","Hartford","WEBDESIGN,SRVCS,ASPS,WEB HOST","HE609","HE609","HE609","15212"
"17184","5656N8211","6J035437","CLARKE & SAMPSON INC","HIG","JUICE BARS","HG208","HG208","HG208","22312"
"17185","8781v0211","6J03670A","HANSARD INS AGCY INC","Other","BLDG PAC OFC PRIMARY","F0902","XW205","XW205","30028"
"17186","8881V9211","6J037836","CSP INSURANCE SERVICES","Liberty","STORE PAC CONVENIENCE STORE W","GF659","GF659","GF659","29010"
"17187","8872v4211","6J03793A","HANSARD INS AGCY INC","Other","OFC PAC ACTG BKNG FIRMS","F0902","XW205","XW205","30028"
"17188","8914V7211","6J038440","HANA FINANCIAL GROUP","Nationwide","BUS PAC DRY CLEANERS - NO PLAN","CFF69","CFF69","CFF69","20001"
"17190","8844V6211","6J03953A","BAER INS SERVICES INC","Erie","CONDO PAC BLDG 1-4 UNITS","HF968","HF968","HF968","53717"
"17192","8915V1211","6J03988A","INS AGENCY ALLIANCE INC","Harleysville","BLDG PAC APART INCIDENTAL MERC","JR960","X3826","X3826","18644"
"17193","8999v2211","6J039971","ALLIED INS MARKETING","Hartford","OFC PAC PHYS AND SURG & OSTEOP","XG601","X0773","X0773","30096"
"17194","9013v5211","6J040202","STOVALL MARKS INSURANCE","Auto Owners","BLDG PAC MERCANTILE OTHER","GA257","DCS42","DCS42","36266"
"17196","9009v3211","6J040712","YOUNG GROUP OF FUQUAY","State Auto","BUILDING LRO-FOR RELIGIOUS USE","CTM01","CTM01","CTM01","27526"
"17197","8845V0211","6J040785","BRAMLETT AGENCY","Hartford","ART GALLERY OR DEALER","FG007","9511","9511","80238"
"17203","9077V8211","6J041038","C & S INS AGENCY INC","Other","BLDG PAC MERCANTILE OTHER","CXM25","CXM25","CXM25","2062"
"17204","9090v4211","6J041167","ABCO INS AGENCY INC","Liberty","STORE PAC AUTO PARTS","CPB65","CRL04","CRL04","8075"
"17205","9047v0211","6J042139","INDEPENDENCE INS GROUP","Other","GARAGE PAC GENERAL REPAIRS WIT","VX266","X3915","X3915","85016"
"17206","9234V4211","6J042999","STOVALL MARKS INSURANCE","Hartford","OFC PAC REAL ESTATE AGENCIES-C","GA257","DCS42","DCS42","35602"
"17207","9270V2211","6J043566","GREENHALGH INS AGENCY","Chubb","BLDG PAC MFG PROCESSING","XA151","XA151","XA151","35226"
"17208","9120v9211","6J043591","IGC-COMPREHENSIVE","Hartford","BLDG PAC MFG PROCESSING","2760","G1832","G1832","80120"
"17209","9331v9211","6J044354","ISU MIJU INS\GROUP","Hartford","RESTAURANT ORIENTAL-FAMILY STY","HE771","HH176","HH176","30004"
"17210","9288V8211","6J044680","MID-ATLANTIC GROUP","Cincinnati","CON PAC ELEC-WIRING WITHIN BLD","CKH05","CKH13","CKH13","25405"
"17211","9300V7211","6J045793","KELLON INSURANCE AGENCY","Allied","GARAGE PAC GENERAL REPAIRS WIT","CPL29","CHZ83","CHZ83","38134"
"17212","9562v7211","6J047750","JNL INS BROKERAGE CORP","Guard Insurance (Berkshire Hathaway)","STORE PAC DISCOUNT STORES","CXQ63","CXQ63","CXQ63","10452"
"17214","9579V8211","6J047891","FITTS AGENCY INC","Chubb","BLDG PAC OFC PRIMARY","HE625","HE625","HE625","35403"
"17215","9581V0211","6J047946","JEWELL & ASSOCIATES INS","Other","STORE PAC CLOTHING WOMEN'S","WM061","X4276","X4276","80110"
"17216","1228E6147","6J047983","CHEESEMAN INS GROUP","Other","RESTAURANT ALL OTHER - FAST FO","TM944","TT050","TT050","5468"
"17217","9593V9211","6J048064","GALLAGHER\A J\RMS","Hartford","WEBDESIGN,SRVCS,ASPS,WEB HOST","XL714","XL714","XL714","87507"
"17218","5152T7211","6J048771","SIL INS AGENCY INC","Brethren Mutual","APART PAC BLDG 5-12 UNITS","EJ330","GU020","GU020","23221"
"17219","9660V6211","6J048967","ICA AGENCY ALLIANCE","Allied","GARAGE PAC GENERAL REPAIRS WIT","CBG32","X4209","X4209","80828"
"17220","9678V1211","6J049294","AAI-ROCKY MOUNTAIN INS","Auto Owners","GARAGE PAC GENERAL REPAIRS WIT","CDY41","CSC72","CSC72","80123"
"17221","9665V9211","6J049350","ALLEN\THOMAS PORTER","CNA","STORE PAC BEVERAGE STORE-SELLI","CWV96","CWV96","CWV96","79907"
"17222","9634V7211","6J049417","INSURESOUTH INC","Other","BLDG PAC MERCANTILE OTHER","XJ087","CSW00","CSW00","36804"
"17224","9764V2211","6J050256","THE BUCKNER COMPANY","Allied","CONDO PAC BLDG 1-4 UNITS","11527","11527","11527","84005"
"17225","9763v8211","6J050300","SIG INSURANCE","Other","BUS PAC BEAUTY SHOPS","TW555","CHK40","CHK40","6070"
"17226","9722V7211","6J050489","RANDY JONES & ASSOCIATES","Other","STORE PAC ICE CREAM & FROZEN Y","FE307","DDH70","DDH70","35957"
"17227","9717V0211","6J050533","FROMARC INS AGENCY INC","Hartford","CONSULTANTS - MANAGEMENT","DFX17","CTC03","CTC03","89448"
"17228","9789V3211","6J050914","ASI RISK MANAGEMENT","Hartford","STORE PAC TROPHY STORES","DKF87","DKF87","DKF87","89101"
"17229","9818V3211","6J051228","SKY INS SERVICES INC","Hartford","RESTAURANT ORIENTAL-FAMILY STY","CXP62","CXP62","CXP62","60714"
"17230","9847V6211","6J051609","CERTIFIED INS SERVS","State Auto","APART PAC BLDG 1-4 UNITS","EE401","EE401","EE401","84790"
"17231","9877V3211","6J051892","NEWTEK INSURANCE AGENCY","Hartford","GARAGE PAC GENERAL REPAIRS WIT","CMC45","CMC45","CMC45","45714"
"17232","9845V7211","6J051984","CN INSURANCE ASSOC","Other","CON PAC CARPET/FLOOR INSTALLAT","G6727","G6727","G6727","84108"
"17233","9887v2211","6J052422","BULLDOG INSURANCE INC","Safeco (Liberty Company)","ART, PICTURES AND POSTERS","RX841","RX841","RX841","30126"
"17234","9967V2211","6J053025","PIA GENERAL INSURANCE","Other","RESTAURANT ORIENTAL-FAMILY STY","CHN63","CPX48","CPX48","98499"
"17235","9972V9211","6J053142","MG RISK ADVISERS INC","Hartford","STORE PAC FOOD AND DRINKS DELI","DBC90","DBC90","DBC90","28027"
"17236","1014W1211","6J053861","GOLDENWEST CREDIT UNION","Hartford","CON PAC EXCAVATION","DDS48","DDS48","DDS48","84093"
"17237","1027W4211","6J053885","LAM & ASSOCIATED LTD","State Auto","BUS PAC DAY SPA","F7956","F7956","F7956","23220"
"17239","1026WA211","6J053953","MITCHELL\PETE\&ASSOC","Other","OFC PAC ADVERTISING & COMMERCI","HG651","XV760","XV760","38111"
"17240","1034WA211","6J054009","ICA AGENCY ALLIANCE","Allied","BLDG PAC MERCANTILE SHOP CENTE","CBG32","X4209","X4209","80015"
"17241","9505C8165","6J05473A","NEVADA INS AGCY CO","Hartford","OFC PAC LAWYERS","DFX17","65625","65625","89509"
"17243","1114WA211","6J054986","WORTHAM SAN ANTONIO INC","Hanover","BLDG PAC OFC PRIMARY","PJ975","PJ975","PJ975","78213"
"17244","1112W0211","6J055080","RELIABLE RISK MANAGEMENT","Other","GARAGE PAC GENERAL REPAIRS WIT","DJG80","DJG80","DJG80","85381"
"17245","1155W0211","6J055516","SAHOURI INSURANCE AGENCY","CNA","RESTAURANT OTHER ETHIC CUISINE","WJ312","WJ312","WJ312","20176"
"17246","1160W7211","6J055577","STILTNER INSURANCE AGCY","Liberty","STORE PAC PHOTOGRAPHY - COMMER","DLB25","CJR78","CJR78","80918"
"17247","1178W2211","6J055798","FIRSTMARK INS GROUP INC","Hartford","DATA PREPARATION & PROCESSING","XG032","DFY89","DFY89","98072"
"17248","1176W3211","6J055829","KB CANYON STATE INSURANC","Other","STORE PAC ICE CREAM & FROZEN Y","CXT04","CXT04","CXT04","85015"
"17249","1193W8211","6J05596A","KEY HARBOR INSURANCE","Liberty","STORE PAC GROCERY STORE (UP TO","DDY46","DDY46","DDY46","98371"
"17250","1209W1211","6J056193","NFP PROPERTY & CASUALTY","CNA","STORE PAC PHOTOGRAPHY - PORTRA","CGR28","CGR28","CGR28","86303"
"17251","1218W6211","6J056224","BOISE RIVER INS LLC","Auto Owners","MORTGAGE BROKERS","CYS58","DFQ92","DFQ92","83616"
"17252","1233W1211","6J056408","DORMON & REYNOLDS INS","Liberty","OFC PAC CHIROPRACTORS","TH137","23981","23981","35226"
"17253","1229wa211","6J056469","JUNIPER INSURANCE","Other","BUS PAC BEAUTY SHOPS","CSS70","DKP48","DKP48","97703"
"17255","1301w3211","6J057466","ROSS INSURANCE-RAIS","Hanover","OFC PAC PHYSIOTHERAPISTS & SPE","TW555","XG480","XG480","1028"
"17258","1308w5211","6J057614","MOUNTAIN AIR PROP & CAS","Allied","BLDG PAC OFC PRIMARY","CVK37","DCS09","DCS09","59840"
"17259","1454W0211","6J060760","KASKY INS FIN SERV INC","Erie","GARAGE PAC BODY REPAIR AND COL","WT775","XK937","XK937","15038"
"17260","8092R1211","6J062937","INS SOLUTIONS OF MS INC","CNA","BLDG PAC OFC PRIMARY","EG958","X0992","X0992","39301"
"17261","1613W6211","6J063854","PENINSULA EXCESS INS BKR","Hartford","STORE PAC PHOTOGRAPHY - PORTRA","XL699","XY753","XY753","1721"
"17262","1640WA211","6J064525","BOBBY INSURANCE AGENCY","Erie","RESTAURANT ALL OTHER - FAMILY","G3838","CRP82","CRP82","14621"
"17265","1658W5211","6J064586","CLAUSEN AGENCY INC\THE","Other","GARAGE PAC GENERAL REPAIRS WIT","PA979","PA979","PA979","11520"
"17267","2273L5211","6J064758","MAGAS INSURANCE INC","Liberty","BLDG PAC MERCANTILE SHOP CENTE","CLT17","CPK05","CPK05","98225"
"17268","1652W8211","6J064979","DOWLING INSURANCE AGENCY","Hartford","GARAGE PAC BODY REPAIR AND COL","XG064","XW803","XW803","2131"
"17270","1724W8211","6J065478","OMNI FINANCIAL CORP","Liberty","RESTAURANT ORIENTAL-FAMILY STY","G6278","G6278","G6278","20904"
"17271","1739WA211","6J065583","VIRGINIA COMMONWEALTH CORP","Auto Owners","APART PAC BLDG 5-12 UNITS","CFD78","HG168","HG168","23113"
"17272","1739WA211","6J065583","VIRGINIA COMMONWEALTH CORP","Autowners","APART PAC BLDG 5-12 UNITS","CFD78","HG168","HG168","23113"
"17273","1771WA211","6J066125","CHARLIE KIM FINANCIAL","Hartford","RESTAURANT ORIENTAL TAKE-OUT","CMJ36","CMJ36","CMJ36","75034"
"17274","1765W9211","6J066162","POLKES & GOLDBERG INS","HIG","BLDG PAC MERCANTILE OTHER","G3286","HG098","HG098","20850"
"17275","1780W4211","6J066334","BAILEY PLACE INSURANCE","Liberty","APART PAC BLDG 5-12 UNITS","F6641","XW772","XW772","13053"
"17276","1829W9211","6J066807","JOHNSON & JOHNSON INC","Hartford","APART PAC BLDG 13-24 UNITS","RF845","RF845","RF845","90077"
"17277","1875w6211","6J067797","JONES EWING DOBBS & TAMP","Hanover","STORE PAC CLOTHING WOMEN'S","XH572","CBK53","CBK53","30650"
"17278","1952W2211","6J068628","TICK & CO INC","CNA","STORE PAC ICE CREAM & FROZEN Y","HJ699","HJ699","HJ699","11753"
"17280","1961W7211","6J069035","P Z INS BROKERAGE INC","Other","BUS PAC SHOE REPAIR SHOP","CXK36","CXK36","CXK36","11357"
"17281","1914W5211","6J069060","CASUALTY ASSUR OF CHASKA","Other","OFC PAC CHIROPRACTORS","ZX719","X2316","X2316","55378"
"17282","2129w8211","6J070661","MORGAN INSURANCE GROUP","Other","OFC PAC INS AGENTS","CHV87","ZG234","ZG234","46168"
"17284","2143W9211","6J070857","ELITE INS & CONSULTING","Other","JANITORIAL SERVICES","CVN75","CVN75","CVN75","20032"
"17286","2161W8211","6J071239","JDCO CORP","Other","GARAGE PAC DETAIL SHOPS, PINST","A8968","A8968","A8968","78644"
"17287","2177W4211","6J071393","GOOSEHEAD INS AGENCY LLC","Hartford","CON PAC TILE/STONEWORK INTERIO","DBP60","DBP60","DBP60","77073"
"17288","2204W5211","6J071958","MACE INSURANCE AGENCY LL","Auto Owners","RESTAURANT PIZZA-FAST FOOD","CML14","CML14","CML14","28601"
"17289","2237W6211","6J072236","SHEPARD WALTON KING INS","Guard Insurance (Berkshire Hathaway)","RESTAURANT ALL OTHER - FAMILY","PY097","FY396","FY396","78504"
"17291","2256WA211","6J072574","KEY INS & BENEFITS SVCS","Penn National","BUS PAC COIN OPERATED LAUNDRIE","G2506","DBG97","DBG97","15126"
"17292","2254W0211","6J072586","HIBBS HALLMARK & CO","Hartford","WEB SRV-INTERNET SERCH/IND TLS","FT853","FT853","FT853","75713"
"17294","2303W9211","6J073337","EXCHANGE UNDERWRITERS","State Auto","BLDG PAC MFG PROCESSING","HH271","XW794","XW794","15102"
"17295","2324W1211","6J073510","GLOBAL FACILITIES INC","Hartford","APART PAC BLDG 13-24 UNITS","XJ176","XJ176","XJ176","10463"
"17296","8031V8211","6J073558","MISSOURI GENERAL INS AGY","Other","STORE PAC FOOD AND DRINKS BAKE","DGS03","HE419","HE419","63139"
"17297","2309W6211","6J073718","INS & FIN SERVICES LLC","Nationwide","COMMERCIAL CONDOMINIUM - OFFIC","EJ330","DFP68","DFP68","37602"
"17298","4431K7196","6J074322","COMMERCIAL INS SOLUTIONS","Other","BLDG PAC OFC PRIMARY","CTN30","CHS88","CHS88","79356"
"17299","2459WA211","6J075889","MT STATE AGCY ALLIANCE","Foremost","APART PAC BLDG 5-12 UNITS","HU396","X4344","X4344","26508"
"17300","2455W1211","6J076106","CONSOLIDATED INS GROUP","Other","COMMERCIAL CONDOMINIUM - OFFIC","CYL16","CYL16","CYL16","43074"
"17301","2483wa211","6J076211","FAIRFIELD CTY BANK INS","Hartford","OFC PAC PSYCHOLOGISTS","14162","14162","14162","10010"
"17304","2514W9211","6J076905","HORST INS-DOYLESTOWN","Donegal","BUS PAC PRINTERS","GE940","HH301","HH301","19444"
"17306","2489W7211","6J076978","SEAN S FINCHER INC","Other","RESTAURANT OTHER ETHIC CUISINE","DKR15","DJQ28","DJQ28","27603"
"17308","2542W7211","6J077293","HUTCHERSON INS GROUP LLC","Hanover","RESTAURANT ALL OTHER - FAMILY","PW541","CCZ00","CCZ00","75078"
"17309","2541W2211","6J077348","FEDERAL INS FEDERATION","Hartford","CON PAC CARPET/FLOOR INSTALLAT","CHV76","CHV76","CHV76","20794"
"17312","2561w0211","6J077570","FAIRFIELD CTY BANK INS","State Auto","STORE PAC FOOD AND DRINKS DELI","14162","14162","14162","6477"
"17314","2543W1211","6J078185","LOFTIS & WETZEL CORP","Other","GARAGE PAC BODY REPAIR AND COL","FG007","RW242","RW242","73108"
"17316","2582W3211","6J078241","LANE\CHRIS\INSURANCE AGY","Other","BLDG PAC OFC PRIMARY","CHP31","CTD35","CTD35","75061"
"17317","2663W8211","6J078843","HENDRY INSURANCE LLC","Liberty","STORE PAC FOOD AND DRINKS CAND","CNK65","CNK65","CNK65","75034"
"17318","2673W7211","6J079004","CROWN ISLAND INS AGENCY","Hartford","BUS PAC LOCKSMITHS","CYN90","CYN90","CYN90","92118"
"17319","2672W2211","6J079028","TICK & CO INC","Hartford","STORE PAC ICE CREAM & FROZEN Y","HJ699","HJ699","HJ699","11050"
"17321","2682W1211","6J079305","HAWLEY\STEPHEN M\& ASSOC","Erie","RESTAURANT PIZZA-FAST FOOD","RF791","CGX81","CGX81","14422"
"17322","2695W4211","6J079502","MORELAND INSURANCE","Hallmark","BLDG PAC OFC PRIMARY","DGH00","DHH08","DHH08","98168"
"17324","2689W3211","6J079796","COMBINED GROUP INS SVCS","Hartford","STORE PAC ICE CREAM & FROZEN Y","CBL46","X3207","X3207","78640"
"17325","2708w4211","6J079840","FAIRFIELD CTY BANK INS","State Auto","BLDG PAC MERCANTILE OTHER","14162","14162","14162","10589"
"17326","5422H6204","6J080297","LEAVELL INS & R E","Liberty","APART PAC BLDG 1-4 UNITS","VF380","VF380","VF380","88231"
"17327","2758WA211","6J080734","DESERT MOUNTAIN INS SVCS","Hartford","BUS PAC DAY SPA","TH887","CNQ55","CNQ55","85298"
"17328","2783W4211","6J081048","AAI-ROCKY MOUNTAIN INS","Guard Insurance (Berkshire Hathaway)","GARAGE PAC GENERAL REPAIRS WIT","CDY41","CSC72","CSC72","80110"
"17329","2807W8211","6J081405","J A SUNDERLAND AGENCY","Liberty","STORE PAC TUXEDO RENTAL","G1012","G1012","G1012","87110"
"17330","2868W7211","6J082094","GG INS SERVICES INC","Other","APART PAC BLDG 5-12 UNITS","DFQ88","DFQ88","DFQ88","90034"
"17331","2920w2211","6J082973","BOISE RIVER INS LLC","Auto Owners","GARAGE PAC DETAIL SHOPS, PINST","CYS58","DFQ92","DFQ92","83703"
"17332","2952W9211","6J083472","A PLUS RISK & INSURANCE","Auto Owners","CON PAC HEATING-COMBINE HVAC","DDD88","DDD88","DDD88","84005"
"17333","2936W9211","6J083515","TREVINO INS GROUP INC","Liberty","RESTAURANT ALL OTHER - FAST FO","NM844","NM844","NM844","46514"
"17334","2936W9211","6J083515","TREVINO INS GROUP INC","State Auto","RESTAURANT ALL OTHER - FAST FO","NM844","NM844","NM844","46514"
"17335","2991W0211","6J084063","JAMES\MED\INC","Liberty","PET DAY CARE-NO OVERNGT BOARD","XF272","XF272","XF272","66212"
"17337","3039W5211","6J084561","PECK-GLASGOW AGENCY INC","Auto Owners","BUS PAC NAIL SALONS","HE728","X0952","X0952","35055"
"17340","3049W4211","6J084782","BOISE RIVER INS LLC","Auto Owners","GARAGE PAC GENERAL REPAIRS WIT","CYS58","DFQ92","DFQ92","83642"
"17341","3054W0211","6J084825","INS OFFICE OF AMERICA","Auto Owners","GARAGE PAC DETAIL SHOPS, PINST","VJ001","DCN86","DCN86","80916"
"17343","3064wa211","6J085060","FAIRFIELD CTY BANK INS","Hartford","CONSULTANTS - MANAGEMENT","14162","14162","14162","10507"
"17345","3108W1211","6J085404","CROSS INS-WAKEFIELD INC","Guard Insurance (Berkshire Hathaway)","STORE PAC LIQUOR STORES","F8135","XM072","XM072","1863"
"17347","3108W1211","6J085404","CROSS INS-WAKEFIELD INC","Other","STORE PAC LIQUOR STORES","F8135","XM072","XM072","1863"
"17348","3108W1211","6J085404","CROSS INS-WAKEFIELD INC","Other","STORE PAC LIQUOR STORES","F8135","XM072","XM072","1863"
"17349","3126W0211","6J085490","TIME INSURANCE AGCY INC","CNA","OFC PAC LAWYERS","TM273","CHF67","CHF67","78726"
"17350","3123W7211","6J085754","INSURANCE RESOURCES","Hanover","RESTAURANT ALL OTHER - FAST FO","CTG50","CTG50","CTG50","98104"
"17351","3164W8211","6J086185","OMNI FINANCIAL CORP","Liberty","RESTAURANT ORIENTAL TAKE-OUT","G6278","G6278","G6278","20005"
"17352","3220W1211","6J086935","SONU INSURANCE AGENCY","Hartford","BLDG PAC OFC PRIMARY","WH865","CHV57","CHV57","30096"
"17353","3222W0211","6J087053","TOTAL RISK MGMT INC","CNA","CREDIT AND DEBT COUNSELING","XL690","XL690","XL690","8034"
"17354","3219w3211","6J087077","LINDER INSURANCE AGENCY","Erie","STORE PAC ICE CREAM & FROZEN Y","CPH09","CPH09","CPH09","38016"
"17355","3246w7211","6J087502","C&W PREMIER INS AGENCY","Auto Owners","OFC PAC MED SPA","CTV96","CTV96","CTV96","84060"
"17356","3271W1211","6J087563","BERKLEY RISK SVCS OF CO","Hanover","OFC PAC DENTISTS","VW006","VW006","VW006","84121"
"17357","3261W2211","6J08762A","ASSUREDPARTNERS OF VA","Penn National","BLDG PAC MFG PROCESSING","XH111","CFB01","CFB01","22102"
"17358","3247W1211","6J087759","ABODEELY\G M\INS AGENCY","Hartford","CON PAC MASONRY","347","347","347","1756"
"17361","3319W1211","6J088222","AFFINITY INSURANCE SRVC","Hartford","OFC PAC DENTISTS","CBG55","X0517","X0517","30066"
"17362","3293W9211","6J08850A","LATTANZI\PETER\INS AGCY","Other","RESTAURANT MEXICAN TAKE-OUT","FR116","CVT62","CVT62","2151"
"17365","3323w3211","6J088523","FAIRFIELD CTY BANK INS","Hartford","OCCUPATIONAL THERAPISTS","14162","14162","14162","6877"
"17371","3309W2211","6J088603","MONTANA INS INC","Liberty","BUS PAC DAY SPA","CYH59","CYH59","CYH59","59715"
"17373","6200G5196","6J088873","HALLASON GROUP LLC","Erie","BLDG PAC MERCANTILE SHOP CENTE","HU396","DBH64","DBH64","26651"
"17374","3342w7211","6J089009","BUSINESS INSUR CAROLINAS","Hartford","PET DAY CARE-NO OVERNGT BOARD","XL819","DBW90","DBW90","98258"
"17375","3362W5211","6J089218","FLOWERS INS AGENCY LLC","Other","BLDG PAC MERCANTILE OTHER","TH137","HE689","HE689","36868"
"17377","3450W5211","6J090807","KEENANSUGGS INSURANCE","Auto Owners","BLDG PAC MERCANTILE SHOP CENTE","PM762","X2498","X2498","29609"
"17378","3465W7211","6J090973","DAVIS-DYER-MAX INC","Hartford","RESTAURANT ALL OTHER - FAST FO","PY097","EY300","EY300","75001"
"17379","4286Y0207","6J091158","ROUTE 66 INSURANCE INC","Other","BLDG PAC OFC PRIMARY","CNL03","CNL03","CNL03","87059"
"17380","3523WA211","6J091712","RDA MARTIN & SONS INS","Liberty","RESTAURANT ALL OTHER - FAST FO","EF150","EF150","EF150","76002"
"17381","3545w7211","6J092155","AREVALO INS AGENCY LLC","Other","CON PAC DRIVEWAY,SIDEWALK,PARK","DGF45","DGF45","DGF45","27616"
"17382","3494WA211","6J092259","GINGRICH\WARREN A\AGENCY","Other","GARAGE PAC GENERAL REPAIRS WIT","HE978","HE978","HE978","16611"
"17383","4505K2186","6J09239A","AGENTS ALLIANCE SERV LTD","Hartford","GARAGE PAC DETAIL SHOPS, PINST","FF021","CGX48","CGX48","76040"
"17384","3610W5211","6J093011","AIKEN & COMPANY INC","Auto Owners","OFC PAC REAL ESTATE AGENCIES-C","G3238","XW347","XW347","29502"
"17385","3417W0211","6J093059","MCGRIFF SEIBELS WMS-BHAM","Liberty","STORE PAC FOOD AND DRINKS BAKE","59591","59591","59591","23451"
"17386","3618W1211","6J093336","WORTH INS GROUP INC","EMC","GARAGE PAC BRAKES, SHOCKS, EXH","CNL22","CNL22","CNL22","42330"
"17387","6815P2211","6J093477","RELIABLE RISK MANAGEMENT","Other","RESTAURANT ORIENTAL TAKE-OUT","DJG80","DJG80","DJG80","85213"
"17388","3630W3211","6J093569","GANNON ASSOCIATES","Erie","RESTAURANT ALL OTHER - FAMILY","PH136","XG856","XG856","17866"
"17389","3486wa211","6J093778","PRIVETTE INSURANCE AGCY","Other","BLDG PAC MERCANTILE SHOP CENTE","CCV99","CCV99","CCV99","27614"
"17390","3666w8211","6J093975","CONE INS CO INC\THE","Chubb","BLDG PAC OFC PRIMARY","XJ325","XJ325","XJ325","36117"
"17391","7728V1211","6J094241","INSGROUP INC","Hanover","BUS PAC TV, STERO & VCR REPAIR","VY637","SV354","SV354","78757"
"17393","3747W2211","6J094855","PARDEES AGENCY INC","Other","STORE PAC CLOTHING WOMEN'S","CGW52","CGW52","CGW52","12401"
"17394","3763W2211","6J095342","HUB INTERNATIONAL MOUNTA","Other","APART PAC BLDG 5-12 UNITS","G7423","WY943","WY943","59937"
"17395","6391T3204","6J095956","DAVIS-DYER-MAX INC","Hartford","STORE PAC GIFTS","PY097","EY300","EY300","75040"
"17396","3838W6211","6J096129","THE JOHN A BARCLAY AGCY","Liberty","BLDG PAC OFC PRIMARY","CDZ63","CDZ63","CDZ63","78746"
"17397","3767W0211","6J096535","SMITH\WILLIAM A\& SON","Hartford","OFC PAC PSYCHOLOGISTS","X5582","X5582","X5582","12550"
"17398","9903VA211","6J096559","A G D INS LLC","Chubb","STORE PAC PHOTOGRAPHY - PORTRA","TH137","CTC37","CTC37","35768"
"17400","3793WA211","6J096885","INTEGRITY MIDWEST INS","Other","BLDG PAC OFC PRIMARY","CPN68","DCC18","DCC18","66047"
"17401","3892w3211","6J097071","INSURANCE SOLUTIONS","Liberty","STORE PAC MUSIC RECORDS TAPE C","CJV95","CJV95","CJV95","10003"
"17402","3877W8211","6J09730A","ASSUREDPARTNERS OF CO","CNA","CONSULTANTS - MANAGEMENT","DGN66","TL930","TL930","80220"
"17403","3908W7211","6J097396","W D BARRY LP","Other","OFC PAC REAL ESTATE AGENCIES-C","HE119","HE119","HE119","75503"
"17406","3911W4211","6J09749A","HOLLIS\C L\INS AGENCY","Other","COMMERCIAL CONDOMINIUM - OTHER","CTN93","CTN93","CTN93","2072"
"17408","3944W5211","6J097998","BUKATY PROP & CASUALTY","Auto Owners","GARAGE PAC GENERAL REPAIRS WIT","CCD16","CCD16","CCD16","64055"
"17410","2736W2211","6J09837A","INTEGRATED INS SOLUTIONS","Erie","STORE PAC MEAT, FISH & POULTRY","WM000","WM000","WM000","20147"
"17411","3981W8211","6J098541","COLONIAL GENERAL INS","Other","APART PAC BLDG 5-12 UNITS","TK581","X2250","X2250","84106"
"17412","3937WA211","6J098553","HOLMES MURPHY ASSOC LLC","Other","CONSULTANTS - ALL OTHER","A4782","XV027","XV027","50312"
"17414","3993w6211","6J098669","TWFG INS SERVICES INC","Hartford","BLDG PAC OFC PRIMARY","CCW16","CCW16","CCW16","75205"
"17416","4079W8211","6J099802","ADVANTAGE INSURANCE LLC","Auto Owners","GARAGE PAC BRAKES, SHOCKS, EXH","DLB25","CPD97","CPD97","80537"
"17417","4108W8211","6J100319","POWERS LEAVITT INSURANCE","Hartford","OFC PAC PHYSIOTHERAPISTS & SPE","VK103","VK103","VK103","85308"
"17418","3824W9211","6J100381","MORGAN-MARROW CO-HAMPTON","State Auto","GARAGE PAC DETAIL SHOPS, PINST","63479","63479","63479","23452"
"17419","4127W1211","6J10053A","GFH INSURANCE AGENCY INC","Liberty Mutual","CON PAC PAINTING - EXTERIOR","EJ330","CZX18","CZX18","23059"
"17420","4142W7211","6J100786","BXS INSURANCE INC","Cincinnati","RESTAURANT ALL OTHER - FAST FO","FF113","X1314","X1314","65804"
"17421","4209W0211","6J101408","IIAA AGENCY ADMIN SVCS","Other","BLDG PAC MERCANTILE SHOP CENTE","CTV82","X3043","X3043","87108"
"17422","4225W0211","6J101574","ANTIOCH INSURANCE AGENCY","Liberty","CON PAC CARPENTRY-INTERIOR","CVK81","CVK81","CVK81","64030"
"17423","4226W5211","6J101709","INDEPENDENT INS ADVISORS","Guard Insurance (Berkshire Hathaway)","WEB SRV-INTERNET SERCH/IND TLS","F9035","EK791","EK791","10003"
"17424","4280W2211","6J102294","BROWN & BROWN INS-PHX","Other","APART PAC BLDG 13-24 UNITS","G3448","G3448","G3448","85028"
"17426","4340W4211","6J103070","SILVERLEAF INS GRP LLC","Other","BLDG PAC OFC PRIMARY","CTL57","CTL57","CTL57","92118"
"17427","6944G8204","6J103094","COLORADO RESTAURANT SERV","Other","RESTAURANT STEAK BARBECUE-FAMI","CJH65","CJH65","CJH65","80027"
"17428","4343W8211","6J103137","HILL & USHER","EMC","STORE PAC GROCERY STORE (UP TO","FX671","FX671","FX671","85335"
